,distance,name,popularity,rating,latitude,longitude,category
0,37,V-Face,0.963409409009112,,53.35023,-6.279696,Vegan and Vegetarian Restaurant
1,177,Light House Cinema,0.9885458025079266,9.1,53.35023,-6.279696,Indie Movie Theater
2,250,Nutbutter,0.9577251563883573,,53.35023,-6.279696,Poke Restaurant
3,285,JJ's Bar,0.9958582078893998,8.3,53.35023,-6.279696,Cocktail Bar
4,286,Token,0.9740352480790654,8.7,53.35023,-6.279696,Arcade
5,287,The Reserve Bar,0.9896026735982176,7.5,53.35023,-6.279696,Whisky Bar
6,291,Old Jameson Distillery,0.9988860007426662,8.9,53.35023,-6.279696,Tour Provider
7,297,Proper Order Coffee Co.,0.9843468822302837,8.0,53.35023,-6.279696,Café
8,331,Bonobo,0.9938872861264246,8.5,53.35023,-6.279696,Bar
9,362,Wuff,0.96709417578337,8.7,53.35023,-6.279696,Bistro
0,171,Bridge Tavern,0.9730069410722957,,53.357841,-6.251557,Pub
1,210,Savoy Take Away,0.9442143448827445,,53.357841,-6.251557,Fast Food Restaurant
2,222,Wallace's Asti,0.9781484761061441,7.8,53.357841,-6.251557,Wine Bar
3,294,Long Thanh Chinese & Vietnamese Takaway,0.9329029678082779,,53.357841,-6.251557,Asian Restaurant
4,321,Players Lounge,0.9598674626524608,,53.357841,-6.251557,Bar
5,339,El Grito Mexican Taqueria,0.9782627324402297,8.7,53.357841,-6.251557,Mexican Restaurant
6,471,The Five Lamps,0.990231083435688,6.3,53.357841,-6.251557,Bar
7,506,Hill 16 Bar,0.9648376131851809,,53.357841,-6.251557,Pub
8,534,The Ref Pub,0.8966837099031677,,53.357841,-6.251557,Pub
9,537,One Society,0.9738638635779371,7.6,53.357841,-6.251557,Café
0,216,Cumiskeys,0.9732925819075094,,53.356307,-6.273717,Real Estate Service
1,252,The Back Page,0.9669227912822417,8.7,53.356307,-6.273717,Arts and Entertainment
2,404,Clement & Pekoe,0.9435573709617527,,53.356307,-6.273717,Café
3,516,Two Boys Brew,0.9508126481761833,8.1,53.356307,-6.273717,Café
4,531,Wood Fire Cafe,0.9695221228826874,,53.356307,-6.273717,Italian Restaurant
5,546,La Pausa Caffe,0.9768059641806393,9.0,53.356307,-6.273717,Café
6,569,Kings Inn,0.9737496072438516,7.7,53.356307,-6.273717,Bar
7,604,BoCo,0.9606101288240166,9.0,53.356307,-6.273717,Bar
8,621,Kale + Coco,0.9249335885058128,,53.356307,-6.273717,Vegan and Vegetarian Restaurant
9,656,Bonobo,0.9938872861264246,8.5,53.356307,-6.273717,Bar
0,109,Light House Cinema,0.9885458025079266,9.1,53.349562,-6.278198,Indie Movie Theater
1,155,V-Face,0.963409409009112,,53.349562,-6.278198,Vegan and Vegetarian Restaurant
2,166,Nutbutter,0.9577251563883573,,53.349562,-6.278198,Poke Restaurant
3,169,JJ's Bar,0.9958582078893998,8.3,53.349562,-6.278198,Cocktail Bar
4,172,The Reserve Bar,0.9896026735982176,7.5,53.349562,-6.278198,Whisky Bar
5,176,Old Jameson Distillery,0.9988860007426662,8.9,53.349562,-6.278198,Tour Provider
6,239,Proper Order Coffee Co.,0.9843468822302837,8.0,53.349562,-6.278198,Café
7,250,Token,0.9740352480790654,8.7,53.349562,-6.278198,Arcade
8,250,Bonobo,0.9938872861264246,8.5,53.349562,-6.278198,Bar
9,308,Urbanity Coffee,0.9921448770316205,9.3,53.349562,-6.278198,Café
0,67,Dicey's Garden,0.9920591847810563,7.4,53.336021,-6.26298,Night Club
1,167,Keavan's Port (JD Wetherspoon),0.9841183695621126,,53.336021,-6.26298,Pub
2,172,Devitt's Pub,0.9868605215801651,7.8,53.336021,-6.26298,Pub
3,184,Whelan's,0.9790625267788283,8.6,53.336021,-6.26298,Concert Hall
4,202,Against the Grain,0.9810620126253249,8.7,53.336021,-6.26298,Beer Bar
5,221,Meet Me In The Morning,0.9746922220000571,8.4,53.336021,-6.26298,Coffee Shop
6,226,Bunsen,0.9704361735553715,9.0,53.336021,-6.26298,Burger Joint
7,250,The Landmark,0.9778628352709303,7.6,53.336021,-6.26298,Pub
8,330,The Lucky Duck,0.9776343226027593,7.7,53.336021,-6.26298,Pub
9,361,Network,0.9797480647833414,8.7,53.336021,-6.26298,Coffee Shop
0,196,Dutchess Foods,0.3912993801593876,,53.359405,-6.276142,Bakery
1,218,The Back Page,0.9669227912822417,8.7,53.359405,-6.276142,Arts and Entertainment
2,246,Kennedy's,0.897826273244023,,53.359405,-6.276142,Café
3,318,Kung Fu Buffet,0.5638835727955669,,53.359405,-6.276142,Cantonese Restaurant
4,333,McGowan's,0.9494987003341998,6.8,53.359405,-6.276142,Pub
5,342,Two Boys Brew,0.9508126481761833,8.1,53.359405,-6.276142,Café
6,388,McDonald's,0.961010025993316,6.3,53.359405,-6.276142,Burger Joint
7,389,Eddie Rocket's,0.9635807935102402,6.3,53.359405,-6.276142,Burger Joint
8,508,Dublin Bus Stop No. 190,0.8869719215058984,,53.359405,-6.276142,Bus Stop
9,525,Clarkes Bakery,0.9325601988060213,8.3,53.359405,-6.276142,Bakery
0,146,"The Schoolhouse Hotel, Ballsbridge, Dublin 4",0.9590676683138621,8.4,53.33796,-6.24153,Pub
1,177,Starbucks,0.9376731697563484,6.7,53.33796,-6.24153,Coffee Shop
2,192,The Storyteller,0.9394155788511526,,53.33796,-6.24153,Pub
3,215,Third Floor Espresso (3FE),0.9928304150361336,9.0,53.33796,-6.24153,Public and Social Service
4,273,The Gasworks Bar,0.9876317518352423,6.4,53.33796,-6.24153,Bar
