,name,latitude,longitude,review_count,rating_avg,distance_avg,category
1,Light House Cinema,53.35023,-6.279696,,4.55,177.0,Indie Movie Theater
3,JJ's Bar,53.35023,-6.279696,,4.15,285.0,Cocktail Bar
4,Token,53.35023,-6.279696,,4.35,286.0,Arcade
5,The Reserve Bar,53.35023,-6.279696,,3.75,287.0,Whisky Bar
6,Old Jameson Distillery,53.35023,-6.279696,,4.45,291.0,Tour Provider
7,Proper Order Coffee Co.,53.35023,-6.279696,,4.0,297.0,Café
8,Bonobo,53.35023,-6.279696,,4.25,331.0,Bar
9,Wuff,53.35023,-6.279696,,4.35,362.0,Bistro
10,Bridge Tavern,53.357841,-6.251557,1.0,5.0,178.94619099584122,Pubs
11,Savoy Take Away,53.357841,-6.251557,5.0,3.5,210.41287413027632,Fish & Chips
12,Wallace's Asti,53.357841,-6.251557,21.0,4.2,225.52908661863268,Italian
15,El Grito Mexican Taqueria,53.357841,-6.251557,49.0,4.425,339.5287045324794,Mexican
16,The Five Lamps,53.357841,-6.251557,,3.15,471.0,Bar
17,Hill 16 Bar,53.357841,-6.251557,4.0,3.5,505.5432174885142,Pubs
19,One Society,53.357841,-6.251557,3.0,4.15,539.9871615579095,Pizza
21,The Back Page,53.356307,-6.273717,23.0,4.425,252.59891924129596,Pubs
23,Two Boys Brew,53.356307,-6.273717,,4.05,516.0,Café
25,La Pausa Caffe,53.356307,-6.273717,,4.5,546.0,Café
26,Kings Inn,53.356307,-6.273717,,3.85,569.0,Bar
27,BoCo,53.356307,-6.273717,,4.5,604.0,Bar
29,Bonobo,53.356307,-6.273717,,4.25,656.0,Bar
30,Light House Cinema,53.349562,-6.278198,,4.55,109.0,Indie Movie Theater
33,JJ's Bar,53.349562,-6.278198,,4.15,169.0,Cocktail Bar
34,The Reserve Bar,53.349562,-6.278198,,3.75,172.0,Whisky Bar
35,Old Jameson Distillery,53.349562,-6.278198,,4.45,176.0,Tour Provider
36,Proper Order Coffee Co.,53.349562,-6.278198,,4.0,239.0,Café
37,Token,53.349562,-6.278198,,4.35,250.0,Arcade
38,Bonobo,53.349562,-6.278198,3.0,4.625,248.88540927341097,Bars
39,Urbanity Coffee,53.349562,-6.278198,,4.65,308.0,Café
40,Dicey's Garden,53.336021,-6.26298,104.0,3.1,52.10034423584581,Bars
42,Devitt's Pub,53.336021,-6.26298,,3.9,172.0,Pub
43,Whelan's,53.336021,-6.26298,,4.3,184.0,Concert Hall
44,Against the Grain,53.336021,-6.26298,,4.35,202.0,Beer Bar
45,Meet Me In The Morning,53.336021,-6.26298,,4.2,221.0,Coffee Shop
46,Bunsen,53.336021,-6.26298,,4.5,226.0,Burger Joint
47,The Landmark,53.336021,-6.26298,,3.8,250.0,Pub
48,The Lucky Duck,53.336021,-6.26298,,3.85,330.0,Pub
49,Network,53.336021,-6.26298,,4.35,361.0,Coffee Shop
51,The Back Page,53.359405,-6.276142,23.0,4.425,222.03318801476792,Pubs
53,Kung Fu Buffet,53.359405,-6.276142,9.0,2.5,271.71779621461496,Chinese
54,McGowan's,53.359405,-6.276142,,3.4,333.0,Pub
55,Two Boys Brew,53.359405,-6.276142,28.0,4.275,343.2420082781481,Breakfast & Brunch
56,McDonald's,53.359405,-6.276142,,3.15,388.0,Burger Joint
57,Eddie Rocket's,53.359405,-6.276142,10.0,2.575,342.05378799182483,Diners
59,Clarkes Bakery,53.359405,-6.276142,,4.15,525.0,Bakery
60,"The Schoolhouse Hotel, Ballsbridge, Dublin 4",53.33796,-6.24153,,4.2,146.0,Pub
61,Starbucks,53.33796,-6.24153,,3.35,177.0,Coffee Shop
63,Third Floor Espresso (3FE),53.33796,-6.24153,,4.5,215.0,Public and Social Service
64,The Gasworks Bar,53.33796,-6.24153,33.0,3.1,263.670687710924,Pubs
65,Füdi,53.33796,-6.24153,,3.05,328.0,Café
66,Beggar's Bush,53.33796,-6.24153,,3.6,340.0,Lounge
68,The 51 Bar,53.33796,-6.24153,,3.8,364.0,Lounge
69,Smyths (Haddington Road),53.33796,-6.24153,,3.9,380.0,Pub
71,Street 66,53.343368,-6.27012,,3.75,217.0,Gay Bar
72,Lundy Foots,53.343368,-6.27012,,3.4,224.0,Pub
74,The Porterhouse,53.343368,-6.27012,,4.6,263.0,Pub
76,Bad Bobs Temple Bar,53.343368,-6.27012,,4.15,340.0,Night Club
77,Irish Film Institute (IFI),53.343368,-6.27012,,4.5,351.0,Indie Movie Theater
78,The George,53.343368,-6.27012,,4.1,364.0,Night Club
79,Five Guys,53.343368,-6.27012,,3.85,367.0,Burger Joint
80,Meet Me In The Morning,53.334123,-6.265436,,4.2,152.0,Coffee Shop
81,Devitt's Pub,53.334123,-6.265436,,3.9,159.0,Pub
82,Brother Hubbard South,53.334123,-6.265436,,4.45,160.0,Café
83,Odeon,53.334123,-6.265436,,3.3,192.0,Cocktail Bar
85,Dicey's Garden,53.334123,-6.265436,,3.7,216.0,Night Club
86,Whelan's,53.334123,-6.265436,,4.3,274.0,Concert Hall
87,Doolally,53.334123,-6.265436,,4.05,283.0,Indian Restaurant
88,Alma.,53.334123,-6.265436,,4.35,300.0,Café
89,Against the Grain,53.334123,-6.265436,,4.35,322.0,Beer Bar
90,Bread 41,53.344304,-6.250427,26.0,4.3,99.93078312895884,Cafes
91,Windjammer Bar The,53.344304,-6.250427,,3.25,179.0,Lounge
92,Kennedy's,53.344304,-6.250427,45.0,3.9,243.43004267311952,Pubs
93,The Ginger Man,53.344304,-6.250427,,4.0,277.0,Lounge
94,The Gallery Café,53.344304,-6.250427,,4.2,314.0,Café
96,Coffeeangel,53.344304,-6.250427,,4.5,344.0,Coffee Shop
97,O'reilly's Bar & Restaurant,53.344304,-6.250427,,3.75,384.0,Pub
98,Shoe Lane Coffee,53.344304,-6.250427,,4.5,441.0,Café
99,KC Peaches,53.344304,-6.250427,,3.5,479.0,Restaurant
100,The Well,53.338755,-6.262003,,3.4,125.0,Bar
101,The Rolling Donut,53.338755,-6.262003,,4.0,160.0,Bagel Shop
102,Harry's on the Green,53.338755,-6.262003,,3.05,206.0,Cocktail Bar
103,Peter's Pub,53.338755,-6.262003,,3.5,260.0,Pub
104,Bruxelles,53.338755,-6.262003,,3.8,292.0,Lounge
105,Bunsen,53.338755,-6.262003,,4.5,293.0,Burger Joint
106,Bunsen,53.338755,-6.262003,,4.45,299.0,Burger Joint
107,The Hairy Lemon,53.338755,-6.262003,,3.95,297.0,Lounge
108,Against the Grain,53.338755,-6.262003,,4.35,302.0,Beer Bar
